#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
PMID:36847616	(2023) Chemical conversion of human conventional PSCs to TSCs following transient naive gene activation.	11	62	1.52	1.62	7.53e-07	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000279488,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000364683,9606.ENSP00000365413,9606.ENSP00000368632,9606.ENSP00000435233,9606.ENSP00000487363,9606.ENSP00000496870	NANOG,POU5F1,DUSP6,GATA2,KRT19,BAMBI,SLC28A3,GATA3,TEAD1,HAVCR1,LRP2
PMID:27062923	(2016) Single-Cell RNA-Seq Reveals Lineage and X Chromosome Dynamics in Human Preimplantation Embryos.	10	48	1.59	1.6	1.22e-06	9606.ENSP00000168712,9606.ENSP00000212355,9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000342385,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000409544	FGF4,TGFBR3,NANOG,GCM1,POU5F1,TDGF1,PTGES,GATA2,GATA3,CLDN4
PMID:33452132	(2021) OCT4 induces embryonic pluripotency via STAT3 signaling and metabolic mechanisms.	10	51	1.57	1.57	1.39e-06	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000362817,9606.ENSP00000368632,9606.ENSP00000409544,9606.ENSP00000435233,9606.ENSP00000449404	FGF4,NANOG,POU5F1,TDGF1,GATA2,FABP3,GATA3,CLDN4,TEAD1,KRT8
PMID:37673118	(2023) Complete human day 14 post-implantation embryo models from naive ES cells.	12	109	1.32	1.41	2.40e-06	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000265162,9606.ENSP00000279488,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000360269,9606.ENSP00000367817,9606.ENSP00000368632,9606.ENSP00000389870,9606.ENSP00000435534,9606.ENSP00000436607	NANOG,POU5F1,ENPEP,DUSP6,GATA2,KRT19,TACSTD2,PODXL,GATA3,DLX3,CCKBR,ADM
PMID:36434136	(2022) Accessing the human trophoblast stem cell state from pluripotent and somatic cells.	9	39	1.64	1.5	3.37e-06	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000265162,9606.ENSP00000345681,9606.ENSP00000360269,9606.ENSP00000368632,9606.ENSP00000487363	FGF4,NANOG,GCM1,POU5F1,ENPEP,GATA2,TACSTD2,GATA3,HAVCR1
PMID:36933093	(2023) Combination of epigenetic erasing and mechanical cues to generate human epiBlastoids from adult dermal fibroblasts.	8	25	1.78	1.49	5.04e-06	9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000268053,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000360269,9606.ENSP00000368632	NANOG,GCM1,POU5F1,CYP11A1,GATA2,KRT19,TACSTD2,GATA3
PMID:34214484	(2021) Derivation of feeder-free human extended pluripotent stem cells.	8	25	1.78	1.49	5.04e-06	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000279488,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000368632,9606.ENSP00000435233,9606.ENSP00000449404	NANOG,POU5F1,DUSP6,GATA2,KRT19,GATA3,TEAD1,KRT8
PMID:30413530	(2018) Single cell transcriptome analysis of human, marmoset and mouse embryos reveals common and divergent features of preimplantation development.	12	127	1.25	1.29	6.31e-06	9606.ENSP00000168712,9606.ENSP00000229307,9606.ENSP00000252486,9606.ENSP00000259803,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000345681,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000377508,9606.ENSP00000458879,9606.ENSP00000496870	FGF4,NANOG,APOE,GCM1,POU5F1,TDGF1,GATA2,GATA3,LAMA1,JUP,ZSCAN10,LRP2
PMID:35439430	(2022) Amniogenesis occurs in two independent waves in primates.	11	97	1.33	1.32	6.96e-06	9606.ENSP00000229307,9606.ENSP00000259915,9606.ENSP00000296145,9606.ENSP00000297258,9606.ENSP00000297991,9606.ENSP00000341170,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000356030,9606.ENSP00000357695,9606.ENSP00000368632	NANOG,POU5F1,TDGF1,FABP5,AQP3,PTN,GATA2,KRT19,CD55,S100A16,GATA3
PMID:22761758	(2012) Transcriptome analysis during human trophectoderm specification suggests new roles of metabolic and epigenetic genes.	11	102	1.31	1.27	1.03e-05	9606.ENSP00000212355,9606.ENSP00000229307,9606.ENSP00000259803,9606.ENSP00000268053,9606.ENSP00000342385,9606.ENSP00000345681,9606.ENSP00000355124,9606.ENSP00000368632,9606.ENSP00000374309,9606.ENSP00000435534,9606.ENSP00000498246	TGFBR3,NANOG,GCM1,CYP11A1,PTGES,GATA2,KRT19,GATA3,LAMA1,CCKBR,ABCG2
