gene,dis,rank
POU5F1,0.000277245,1
ZNF839,0.000161303,2
RP11-287D1.2,5.9968659674503044e-05,3
ALX1,1.139395149341027e-05,4
PTGES,3.471574762548002e-06,5
FABP3,3.3829928092199424e-06,6
LRP2,3.313941781657448e-06,7
KRT19,3.2702345453827775e-06,8
SLC7A2,3.2207261859706904e-06,9
CLDN4,3.152283709839665e-06,10
S100A16,2.9596473281046087e-06,11
GATA3,2.931065586686543e-06,12
GATA2,2.881047603597864e-06,13
CCKBR,2.5887909889110716e-06,14
HIST1H4C,1.4545306741275965e-06,15
EFNA1,1.4501758180962554e-06,16
NID1,1.4398577630192477e-06,17
PTN,1.4005830264451902e-06,18
MYOF,1.3886948135866106e-06,19
SOAT1,1.3450006242088364e-06,20
LAMA1,1.3298323267019185e-06,21
TEAD1,1.317930100164233e-06,22
SLC12A3,1.3132499718793156e-06,23
ABCG2,1.3000951859520882e-06,24
GCM1,1.29396803760784e-06,25
HERPUD1,1.2367603940965921e-06,26
DDIT4,1.2326254512640133e-06,27
SLC7A8,1.1974561173744291e-06,28
HMOX1,1.1767524281669495e-06,29
ANXA6,1.1469185383639058e-06,30
CA12,1.145601367769089e-06,31
ATP6V0A4,1.1422965273677477e-06,32
HAVCR1,1.1003296802591933e-06,33
SLC38A1,1.0925483244772494e-06,34
TACSTD2,1.0879730081292394e-06,35
TERF1,1.0603492424099414e-06,36
SLC1A5,1.0540445740669924e-06,37
CHD7,1.0440450886051167e-06,38
DLX3,1.0321956551706535e-06,39
CHAC1,1.0256161202537584e-06,40
ARHGAP18,1.0246051016515878e-06,41
FRRS1,9.921593868700285e-07,42
DBI,9.434738263980336e-07,43
ANPEP,9.347134162229764e-07,44
GPRC5A,9.031771728285065e-07,45
GREB1L,8.80598067354299e-07,46
AQP3,8.427106545916274e-07,47
CSTB,8.309449981425132e-07,48
SH2D4A,7.864231541532263e-07,49
UBE2C,7.663286925030377e-07,50
CKS2,7.619117914359208e-07,51
RAB11FIP4,7.5442866753761e-07,52
GLIPR2,7.544003963744217e-07,53
ST3GAL1,7.484631932008767e-07,54
CBLB,7.400466426332741e-07,55
PRSS8,7.394062118137867e-07,56
SLC6A19,7.267215784700909e-07,57
NABP1,7.219275139913606e-07,58
HAPLN1,7.198399440966341e-07,59
RGCC,6.989103631394045e-07,60
REEP1,6.865052386562098e-07,61
CYP11A1,6.778950452090982e-07,62
LYN,6.754892476479313e-07,63
STS,6.709514304148456e-07,64
JUP,6.638146798909617e-07,65
FTH1,6.329385928705022e-07,66
MPZL1,6.282474676044814e-07,67
ZSCAN10,6.254008859674087e-07,68
TDGF1,6.228708384625747e-07,69
TGFBR3,6.186201246816125e-07,70
PGF,6.13824957085285e-07,71
CD55,6.093336111234748e-07,72
ENPEP,6.042625484425912e-07,73
AIF1L,5.949999974941278e-07,74
FAM46B,5.781425238549076e-07,75
GCH1,5.765884161235135e-07,76
SLC7A5,5.754025256266004e-07,77
S100A11,5.74756293003631e-07,78
SEPHS2,5.557428244262752e-07,79
ADAM9,5.528005866395347e-07,80
S100A14,5.47526470384696e-07,81
ZFHX3,5.405154426263437e-07,82
TET2,5.352067251607195e-07,83
ZNF143,5.249650061323052e-07,84
DUSP6,5.208273057277779e-07,85
KHDC1L,5.084325391813138e-07,86
