rank,gene,Ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1,HAND1,ENSG00000113196,355.5547447,-10.86789244,1.238380021,-8.775894516,1.70E-18,2.38E-14
2,APOE,ENSG00000130203,41354.57704,6.396288102,0.764245223,8.369418491,5.79E-17,4.06E-13
3,SMAD7,ENSG00000101665,101.9377262,-9.619886281,1.207155639,-7.969052186,1.60E-15,7.47E-12
4,CNTFR,ENSG00000122756,87.49561924,10.7384465,1.386427607,7.745407296,9.53E-15,3.34E-11
5,WNT7A,ENSG00000154764,79.17380013,-9.664800615,1.350738384,-7.155198022,8.36E-13,2.12E-09
7,APOA4,ENSG00000110244,642.5606826,7.883798942,1.110058848,7.102145042,1.23E-12,2.46E-09
9,ODAM,ENSG00000109205,69.51266093,-9.481708513,1.359355236,-6.975151352,3.06E-12,4.62E-09
10,SLC38A1,ENSG00000111371,196.2365467,-8.71963093,1.251976032,-6.964694779,3.29E-12,4.62E-09
11,NR2F1,ENSG00000175745,65.3667734,10.31565704,1.522369327,6.776054174,1.24E-11,1.57E-08
12,BIK,ENSG00000100290,976.8914819,5.343245813,0.804707537,6.639984802,3.14E-11,3.67E-08
13,GYPC,ENSG00000136732,128.9608663,-9.602731934,1.468249066,-6.540260883,6.14E-11,5.41E-08
14,PANK1,ENSG00000152782,54.53547402,-7.320228682,1.11922748,-6.54042973,6.13E-11,5.41E-08
15,FAM151A,ENSG00000162391,9000.263901,5.459906492,0.832904331,6.555262456,5.55E-11,5.41E-08
16,MFAP5,ENSG00000197614,241.38167,6.684930692,1.025016754,6.521777004,6.95E-11,5.41E-08
17,MTRNR2L1,ENSG00000256618,20.2106647,6.336577285,0.969998889,6.532561383,6.47E-11,5.41E-08
19,RAB20,ENSG00000139832,162.4946498,-7.611114346,1.171976124,-6.494257169,8.34E-11,6.16E-08
20,UGT8,ENSG00000174607,75.53966263,8.540285984,1.33471229,6.398596945,1.57E-10,1.10E-07
21,DLX5,ENSG00000105880,171.2016035,-8.545077286,1.352810384,-6.316537328,2.67E-10,1.79E-07
22,MT-ND3,ENSG00000198840,22132.89262,4.518817008,0.718597903,6.288380453,3.21E-10,2.04E-07
23,H19,ENSG00000130600,8.800190738,-7.507547451,1.217609195,-6.165810413,7.01E-10,4.28E-07
24,LONRF1,ENSG00000154359,41.21447913,-8.67425876,1.413277408,-6.137690104,8.37E-10,4.89E-07
25,FECH,ENSG00000066926,46.23601158,-8.726262427,1.430045847,-6.10208578,1.05E-09,5.87E-07
26,PWP2,ENSG00000241945,52.65675713,-6.25949493,1.028183284,-6.087917425,1.14E-09,6.17E-07
27,GABBR2,ENSG00000136928,32.54360419,-8.437145293,1.408369905,-5.990716832,2.09E-09,1.09E-06
28,RHOBTB3,ENSG00000164292,25.4257151,-8.25094703,1.386613682,-5.95042955,2.67E-09,1.34E-06
29,MT-RNR1,ENSG00000211459,381413.2283,4.62825378,0.781245749,5.924197075,3.14E-09,1.52E-06
32,GRHL1,ENSG00000134317,249.5740079,-5.292843134,0.90784637,-5.830108825,5.54E-09,2.43E-06
33,ISG15,ENSG00000187608,255.0931721,7.337866999,1.265069569,5.800366382,6.62E-09,2.81E-06
34,IFITM2,ENSG00000185201,300.3461254,-4.808428718,0.839740755,-5.726087113,1.03E-08,4.24E-06
35,ZNF750,ENSG00000141579,146.0763886,-7.675064549,1.343846472,-5.711265916,1.12E-08,4.49E-06
36,MT-ND2,ENSG00000198763,853761.3388,4.288793612,0.75952108,5.646707809,1.64E-08,6.37E-06
37,KIAA1462,ENSG00000165757,250.7035704,-5.875201417,1.052700157,-5.581077744,2.39E-08,9.06E-06
38,ELOVL7,ENSG00000164181,79.72685232,7.145444069,1.281887755,5.574157362,2.49E-08,9.18E-06
39,E2F7,ENSG00000165891,34.1191998,-7.058037218,1.282387087,-5.503827426,3.72E-08,1.31E-05
40,RP11-267L5.1,ENSG00000254339,318.0407399,-5.145803167,0.935149915,-5.50265052,3.74E-08,1.31E-05
41,MIPOL1,ENSG00000151338,371.1952706,4.571009059,0.842741886,5.42397279,5.83E-08,1.95E-05
43,RARRES1,ENSG00000118849,33.85679956,-8.075417162,1.502474926,-5.37474338,7.67E-08,2.50E-05
44,ZNF467,ENSG00000181444,60.31864656,7.698250773,1.445030132,5.327398096,9.96E-08,3.18E-05
45,MT-ATP6,ENSG00000198899,673902.9193,3.876977229,0.730344863,5.308419932,1.11E-07,3.45E-05
46,IBA57,ENSG00000181873,25.27289412,-5.566785632,1.050604281,-5.298651198,1.17E-07,3.49E-05
49,TNFSF12,ENSG00000239697,16.71738044,-7.562715987,1.446915487,-5.226784879,1.72E-07,4.94E-05
50,PLXDC2,ENSG00000120594,21.78840135,-7.715792907,1.479456945,-5.215287225,1.84E-07,5.07E-05
51,GCNA,ENSG00000147174,176.2741063,6.537599836,1.254595422,5.210922757,1.88E-07,5.07E-05
52,SH2B2,ENSG00000160999,37.765685,-8.013802852,1.537208258,-5.213218709,1.86E-07,5.07E-05
53,RAB31,ENSG00000168461,99.99501374,-6.449089278,1.239760536,-5.201883018,1.97E-07,5.22E-05
54,IL32,ENSG00000008517,28.72670942,-6.592784225,1.268457625,-5.197480856,2.02E-07,5.25E-05
55,TINAGL1,ENSG00000142910,43.31286634,-8.065349113,1.553022176,-5.193325142,2.07E-07,5.27E-05
57,PPM1L,ENSG00000163590,14.97091784,7.569397262,1.47304513,5.138605132,2.77E-07,6.81E-05
59,TLE2,ENSG00000065717,508.341931,5.979010395,1.173724199,5.094050544,3.50E-07,8.33E-05
60,LRRC8B,ENSG00000197147,28.86630603,-7.127484011,1.401049862,-5.087245078,3.63E-07,8.49E-05
