gene,dis,rank,Ensembl
POU5F1,4.328146696,1,ENSG00000204531
MT-RNR2,2.70E-06,2,ENSG00000210082
MT-CO1,1.61E-06,3,ENSG00000198804
TMSB10,1.30E-06,4,ENSG00000034510
ACTB,1.23E-06,5,ENSG00000075624
HSP90AA1,1.08E-06,6,ENSG00000080824
ACTG1,1.04E-06,7,ENSG00000184009
MT-ND4,1.02E-06,8,ENSG00000198886
ENO1,9.81E-07,9,ENSG00000074800
KRT8,9.75E-07,10,ENSG00000170421
MT-CO3,9.58E-07,11,ENSG00000198938
MT-CO2,9.21E-07,12,ENSG00000198712
PRDX1,9.18E-07,13,ENSG00000117450
DNMT3L,9.14E-07,14,ENSG00000142182
AGL,8.94E-07,15,ENSG00000162688
KRT18,8.85E-07,16,ENSG00000111057
TCP1,8.81E-07,17,ENSG00000120438
APOA1,8.76E-07,18,ENSG00000118137
ZFP42,8.75E-07,19,ENSG00000179059
ATP5B,8.73E-07,20,ENSG00000110955
SLC3A2,8.69E-07,21,ENSG00000168003
HSPA8,8.68E-07,22,ENSG00000109971
PSAP,8.65E-07,23,ENSG00000197746
HMGA1,8.54E-07,24,ENSG00000137309
TUBB4B,8.48E-07,25,ENSG00000188229
RPS15,8.46E-07,26,ENSG00000115268
TUBB4A,8.45E-07,27,ENSG00000104833
LDHB,8.40E-07,28,ENSG00000111716
NCL,8.38E-07,29,ENSG00000115053
HSP90AB1,8.37E-07,30,ENSG00000096384
MT-CYB,8.37E-07,31,ENSG00000198727
PRDX3,8.24E-07,32,ENSG00000165672
RPL3,8.19E-07,33,ENSG00000100316
BAMBI,8.14E-07,34,ENSG00000095739
GAPDH,8.13E-07,35,ENSG00000111640
NLRP7,8.08E-07,36,ENSG00000167634
RPL15,8.05E-07,37,ENSG00000174748
SDC1,7.95E-07,38,ENSG00000115884
NEAT1,7.94E-07,39,ENSG00000245532
HNRNPF,7.91E-07,40,ENSG00000169813
DNMT3B,7.91E-07,41,ENSG00000088305
VCP,7.90E-07,42,ENSG00000165280
ACLY,7.90E-07,43,ENSG00000131473
ZMPSTE24,7.90E-07,44,ENSG00000084073
HNRNPA2B1,7.88E-07,45,ENSG00000122566
NDUFS5,7.88E-07,46,ENSG00000168653
TMED2,7.86E-07,47,ENSG00000086598
S100A14,7.85E-07,48,ENSG00000189334
MPZL1,7.85E-07,49,ENSG00000197965
RPS14,7.84E-07,50,ENSG00000164587
TINAGL1,7.82E-07,51,ENSG00000142910
MSX2,7.80E-07,52,ENSG00000120149
PGF,7.76E-07,53,ENSG00000119630
MT-ATP6,7.75E-07,54,ENSG00000198899
ALDOA,7.73E-07,55,ENSG00000149925
TMED9,7.71E-07,56,ENSG00000184840
HSPA5,7.71E-07,57,ENSG00000044574
MYBL2,7.70E-07,58,ENSG00000101057
SLC7A6,7.69E-07,59,ENSG00000103064
HSPA9,7.68E-07,60,ENSG00000113013
OSER1,7.61E-07,61,ENSG00000132823
STMN1,7.60E-07,62,ENSG00000117632
RPN2,7.59E-07,63,ENSG00000118705
CFL1,7.59E-07,64,ENSG00000172757
G3BP1,7.57E-07,65,ENSG00000145907
CTSV,7.56E-07,66,ENSG00000136943
PTMA,7.55E-07,67,ENSG00000187514
COX6C,7.53E-07,68,ENSG00000164919
RPL8,7.52E-07,69,ENSG00000161016
DNAJC15,7.50E-07,70,ENSG00000120675
MCM2,7.49E-07,71,ENSG00000073111
CALM2,7.49E-07,72,ENSG00000143933
LYPLA1,7.47E-07,73,ENSG00000120992
NECTIN2,7.43E-07,74,ENSG00000130202
C1QBP,7.43E-07,75,ENSG00000108561
EEF1A1,7.41E-07,76,ENSG00000156508
BSG,7.40E-07,77,ENSG00000172270
NACA,7.39E-07,78,ENSG00000196531
UBC,7.33E-07,79,ENSG00000150991
CCNE1,7.33E-07,80,ENSG00000105173
NCLN,7.31E-07,81,ENSG00000125912
SLC25A5,7.30E-07,82,ENSG00000005022
EZR,7.28E-07,83,ENSG00000092820
TPM3,7.26E-07,84,ENSG00000143549
TPI1,7.24E-07,85,ENSG00000111669
MT-ND4L,7.23E-07,86,ENSG00000212907
LRPAP1,7.22E-07,87,ENSG00000163956
GSTP1,7.20E-07,88,ENSG00000084207
SLC2A1,7.19E-07,89,ENSG00000117394
ATP5A1,7.17E-07,90,ENSG00000152234
EIF1,7.16E-07,91,ENSG00000173812
H3F3B,7.16E-07,92,ENSG00000132475
ATP5G3,7.16E-07,93,ENSG00000154518
B4GALT3,7.12E-07,94,ENSG00000158850
CD63,7.11E-07,95,ENSG00000135404
NDUFAB1,7.10E-07,96,ENSG00000004779
MT-ND2,7.07E-07,97,ENSG00000198763
TFEB,7.05E-07,98,ENSG00000112561
ELOB,7.04E-07,99,ENSG00000103363
PPIA,7.00E-07,100,ENSG00000196262
TMBIM6,6.99E-07,101,ENSG00000139644
HNRNPK,6.99E-07,102,ENSG00000165119
MT-ND6,6.98E-07,103,ENSG00000198695
MT-ND5,6.98E-07,104,ENSG00000198786
PYGB,6.95E-07,105,ENSG00000100994
NOP56,6.94E-07,106,ENSG00000101361
SLC25A3,6.91E-07,107,ENSG00000075415
EIF4G2,6.90E-07,108,ENSG00000110321
